food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Iron,Magnesium,Phosphorus,Potassium,Zinc,Nutrition Density,Types,food_encoded
chocolate pudding fat free,105,300.0,0.0,0.0,0.0,23600.0,17800.0,2200.0,300.0,1.1,100.0,86100.0,0.0,0.021,0.06,0.069,0.046,0.022,0.2,0.084,0.0,0.0,0.0,0.098,44.1,1.9,17.0,61.0,235.0,0.3,72.4,dessert,0
tapioca pudding,143,4300.0,1100.0,2800.0,88.0,23900.0,16400.0,2100.0,0.0,1.1,200.0,79000.0,0.0,0.025,0.003,0.021,0.1,0.031,0.3,0.052,0.3,0.0,0.2,0.01,78.1,0.1,6.6,66.0,101.2,0.2,108.8,dessert,1
tapioca pudding fat free,105,400.0,100.0,80.0,67.0,23900.0,15900.0,1600.0,0.0,1.1,200.0,85400.0,0.0,0.044,0.096,0.012,0.043,0.1,0.056,0.039,0.3,0.0,0.072,0.0,58.2,0.1,5.6,73.9,78.4,0.2,84.5,dessert,2
rice pudding,122,2400.0,1400.0,600.0,100.0,20800.0,13100.0,3600.0,300.0,13.6,100.0,84900.0,0.043,0.002,0.098,0.089,0.098,0.2,0.2,0.4,0.074,1.5,0.0,0.011,0.063,0.014,0.1,0.1,92.7,0.083,27.329,dessert,3
corn pudding,328,12600.0,6300.0,3900.0,1400.0,42400.0,16500.0,11100.0,3000.0,180.0,700.0,180800.0,0.2,0.1,0.2,0.074,0.026,0.4,2.6,1.3,0.3,9.3,0.048,0.7,0.066,0.1,1.3,0.2,225.0,0.069,69.795,dessert,4
chocolate pudding,213,6900.0,1900.0,4100.0,200.0,34500.0,25800.0,3100.0,0.0,1.5,200.0,104200.0,0.045,0.003,0.061,0.044,0.1,0.2,0.4,0.062,0.5,0.0,0.5,0.066,76.5,1.9,27.0,84.0,276.0,0.5,123.424,dessert,5
lemon pudding,173,4400.0,2600.0,1300.0,200.0,30200.0,0.0,4100.0,0.0,16.5,400.0,109800.0,0.026,0.092,0.071,0.028,0.2,0.1,0.4,0.083,1.2,0.0,0.0,0.0,148.5,0.058,16.5,307.5,190.5,0.5,188.516,dessert,6
vanilla pudding,195,5700.0,1500.0,3400.0,100.0,33900.0,25500.0,2200.0,0.0,1.5,300.0,107500.0,0.018,0.012,0.084,0.092,0.1,0.047,0.2,0.048,0.3,0.0,0.5,0.034,73.5,0.1,6.0,61.5,97.5,0.2,115.796,dessert,7
profeel proteiinirahka valio,140,400.0,200.0,16800.0,16800.0,19300.0,200.0,175000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.7,dessert,8
cottage cheese creamed,20,900.0,300.0,200.0,84.0,700.0,500.0,2200.0,0.0,3.4,95.0,16000.0,0.022,0.089,0.039,0.06,0.06,0.059,0.1,0.036,0.0,0.085,0.082,0.0,16.6,0.071,1.6,31.8,20.8,0.018,20.576,dessert,9
