food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Iron,Copper,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,food_type
Acerola,32.0,300.0,70.0,80.0,90.0,7700.0,0.0,400.0,1100.0,0.0,7.0,0.2300999999999999,0.02,0.014,0.0,0.06,0.4,0.31,0.01,1678.0,0.0,0.0,0.0,12.0,0.2,0.09,18.0,0.0,11.0,146.0,0.0006,0.1,Fruits
Apple,52.0,170.0,30.0,10.0,50.0,14000.0,10000.0,260.0,2400.0,0.0,1.0,0.0162,0.02,0.003,0.0,0.03,0.09,0.06,0.04,4.6,0.0,0.18,0.0022,6.0,0.12,0.03,5.0,0.04,11.0,107.0,0.0,0.04,Fruits
Apricot,48.0,390.0,30.0,170.0,80.0,11000.0,9200.0,1400.0,2000.0,0.0,1.0,0.3837,0.03,0.009,0.0,0.04,0.6,0.24,0.05,10.0,0.0,0.8899999999999999,0.0033,13.0,0.39,0.08,10.0,0.08,23.0,259.0,0.0001,0.2,Fruits
Dried fruit,241.0,510.0,20.0,70.0,70.0,63000.0,53000.0,3400.0,7300.0,0.0,10.0,1.0812,0.02,0.01,0.0,0.0699999999999999,2.6,0.5199999999999999,0.1399999999999999,1.0,0.0,4.3,0.0031,55.0,2.7,0.34,32.0,0.24,71.0,1162.0,0.0022,0.39,Fruits
Avocado,160.0,15000.0,2100.0,9800.0,1800.0,8500.0,660.0,2000.0,6700.0,0.0,7.0,0.0438,0.0699999999999999,0.081,0.0,0.1299999999999999,1.7,1.4,0.2599999999999999,10.0,0.0,2.1,0.0209999999999999,12.0,0.55,0.19,29.0,0.1399999999999999,52.0,485.0,0.0003999999999999,0.64,Fruits
Banana,89.0,330.0,110.0,30.0,70.0,23000.0,12000.0,1100.0,2600.0,0.0,1.0,0.0192,0.03,0.02,0.0,0.0699999999999999,0.67,0.33,0.37,8.7,0.0,0.1,0.0005,5.0,0.2599999999999999,0.08,27.0,0.27,22.0,358.0,0.001,0.15,Fruits
Blackberry,43.0,490.0,10.0,50.0,280.0,9600.0,4900.0,1400.0,5300.0,0.0,1.0,0.0642,0.02,0.025,0.0,0.03,0.65,0.2799999999999999,0.03,21.0,0.0,1.2,0.02,29.0,0.62,0.17,20.0,0.65,22.0,162.0,0.0003999999999999,0.53,Fruits
Blueberry,57.0,330.0,30.0,50.0,150.0,14000.0,10000.0,740.0,2400.0,0.0,1.0,0.0162,0.04,0.006,0.0,0.04,0.42,0.12,0.05,9.7,0.0,0.57,0.019,6.0,0.2799999999999999,0.06,6.0,0.34,12.0,77.0,0.0001,0.16,Fruits
Boysenberries,50.0,260.0,10.0,30.0,150.0,12000.0,6900.0,1100.0,5300.0,0.0,1.0,0.0201,0.05,0.063,0.0,0.04,0.7699999999999999,0.25,0.06,3.1,0.0,0.87,0.0078,27.0,0.85,0.08,16.0,0.55,27.0,139.0,0.0001999999999999,0.22,Fruits
Breadfruit,103.0,230.0,50.0,30.0,70.0,27000.0,11000.0,1100.0,4900.0,0.0,2.0,0.0,0.11,0.014,0.0,0.03,0.9,0.46,0.1,29.0,0.0,0.1,0.0005,17.0,0.54,0.08,25.0,0.06,30.0,490.0,0.0006,0.12,Fruits
