food,image_url,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Iron,Copper,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,food_type
Nectarine,https://cdn.britannica.com/25/182625-050-327FAC9B/Nectarine-fruits.jpg,44,320,30,90,110,11000,7900,1100,1700,0,0,0.0996,0.03,0.005,0,0.03,1.1,0.19,0.03,5.4,0,0.77,0.0022,6,0.28,0.09,9,0.05,26,201,0,0.17,Fruits
Pitanga (Surinam cherry),"https://static.wixstatic.com/media/27fcad_8f65eddd31cb4a699d0ced2118dbc2ba~mv2_d_2272_1704_s_2.jpg/v1/fill/w_480,h_360,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/27fcad_8f65eddd31cb4a699d0ced2118dbc2ba~mv2_d_2272_1704_s_2.jpg",33,400,0,0,0,7500,0,800,0,0,3,0.45,0.03,0,0,0.04,0.3,0,0,26,0,0,0,9,0.2,0,12,0,11,103,0,0,Fruits
Kiwifruit,https://cdn.britannica.com/45/126445-050-4C0FA9F6/Kiwi-fruit.jpg,61,520,30,50,290,15000,9000,1100,3000,0,3,0.0261,0.03,0.025,0,0.03,0.34,0.18,0.06,93,0,1.5,0.04,34,0.31,0.13,17,0.1,34,312,0.0002,0.14,Fruits
Cherry,https://traicayxanh.vn/wp-content/uploads/2021/07/cherry-my.jpg,50,300,70,80,90,12000,8500,1000,1600,0,3,0.3849,0.03,0.008,0,0.04,0.4,0.14,0.04,10,0,0.07,0.0021,16,0.32,0.1,9,0.11,15,173,0,0.1,Fruits
Peach,https://s30386.pcdn.co/wp-content/uploads/2019/08/clip-Peaches_HNL1408_ts462290863.jpg.optimal.jpg,39,250,20,70,90,9500,8400,910,1500,0,0,0.0978,0.02,0.004,0,0.03,0.81,0.15,0.03,6.6,0,0.73,0.0026,6,0.25,0.07,9,0.06,20,190,0.0001,0.17,Fruits
Acerola,https://cdn.nhathuoclongchau.com.vn/unsafe/800x0/https://cms-prod.s3-sgn09.fptcloud.com/acerola1_00c171aa8d.png,32,300,70,80,90,7700,0,400,1100,0,7,0.2301,0.02,0.014,0,0.06,0.4,0.31,0.01,1678,0,0,0,12,0.2,0.09,18,0,11,146,0.0006,0.1,Fruits
Roselle,https://images.squarespace-cdn.com/content/v1/5e4200dec6116365b44bfc2f/1715060099004-DJ8BC72PI7QH2OK109J0/rosella+hibiscus+sabdariffa+1.jpg,49,640,0,0,0,11000,0,960,0,0,6,0.0861,0.01,0,0,0.03,0.31,0,0,12,0,0,0,215,1.5,0,51,0,37,208,0,0,Fruits
Elderberry,https://media.post.rvohealth.io/wp-content/uploads/2018/03/Elderberries_732x549-thumbnail-732x549.jpg,73,500,20,80,250,18000,0,660,7000,0,6,0.18,0.07,0.006,0,0.06,0.5,0.14,0.23,36,0,0,0,38,1.6,0.06,5,0,39,280,0.0006,0.11,Fruits
Carambola,https://cdn.britannica.com/19/234019-050-16E56810/carambola-fruit-and-slice.jpg,31,330,20,30,180,6700,4000,1000,2800,0,2,0.0183,0.01,0.012,0,0.02,0.37,0.39,0.02,34,0,0.15,0,3,0.08,0.14,10,0.04,12,133,0.0006,0.12,Fruits
Goji berries,https://www.berriesforafrica.co.za/wp-content/uploads/2017/02/gojiberry-goji-berry-berries-lycium-barbarum-fruit.jpg,349,390,0,0,0,77000,46000,14000,13000,0,298,8.0466,0,0,0,0,0,0,0,48,0,0,0,190,6.8,0,0,0,0,0,0,0,Fruits
